CLIENT_ID,CATEGORY,EXPECTED_RESULT
37aa3202-5b83-48bd-bb2a-5245ab415fec,BILLING,SHOULD_BE_BLOCKED
ed1032cd-2a2e-4437-a5f1-7d7829d8a6b4,ACCOUNT_ISSUE,SHOULD_PASS
9af0e478-0b50-46f5-a88d-6eb2e49ad46f,TECH_SUPPORT,SHOULD_BE_BLOCKED
affa7e0e-e019-46ff-9ade-f4f41655c647,ACCOUNT_ISSUE,SHOULD_PASS
52d9dd22-7352-42c6-8b90-a5f241297c0b,BILLING,SHOULD_BE_BLOCKED
56a24318-7bca-472e-a104-d55c7d645ed0,ACCOUNT_ISSUE,SHOULD_PASS
7635a2c8-88b6-4e47-8aee-b1a9dabc047e,BILLING,SHOULD_BE_BLOCKED
94ca7855-93b7-4e9e-962b-2763bb4f5322,BILLING,SHOULD_PASS
d1fcee2b-9377-465d-839f-1ab4d343f06b,BILLING,SHOULD_BE_BLOCKED
59e764b9-b839-4ff2-9a17-58e811917991,ACCOUNT_ISSUE,SHOULD_PASS
105aa719-bce6-4fd6-ba14-8273c7bc0837,TECH_SUPPORT,SHOULD_BE_BLOCKED
ed5a1497-6390-4fa5-b54b-0a2f0bccdcff,ACCOUNT_ISSUE,SHOULD_PASS
ee5e7972-7ccb-43a6-ae4a-cda4b88b3aba,BILLING,SHOULD_BE_BLOCKED
e4e836e7-2628-49d3-a166-374357401b3f,TECH_SUPPORT,SHOULD_PASS
5d0e19b2-230f-444b-ad43-fb06760e5681,BILLING,SHOULD_BE_BLOCKED
6807ab24-5162-4c4a-a20b-4efe0114fd9a,TECH_SUPPORT,SHOULD_PASS
c19bb892-e633-4a52-9f22-23ee6e72547a,ACCOUNT_ISSUE,SHOULD_BE_BLOCKED
a84cb400-347d-4f62-84e0-caa935167fbe,DELIVERY,SHOULD_PASS
60284351-bef4-4949-b015-f756d69cdc3e,BILLING,SHOULD_BE_BLOCKED
dd18cf6c-9108-475d-bfef-5b482d2070cf,BILLING,SHOULD_PASS
898b9710-5de0-43de-8945-0cb5694228bd,BILLING,SHOULD_BE_BLOCKED
579c7658-49d4-4a84-bc52-1e3b4cbab267,TECH_SUPPORT,SHOULD_PASS
eec2e1cd-95e9-4f32-9ba8-cc8a735c7bde,BILLING,SHOULD_BE_BLOCKED
e54e3048-a93d-4770-9f11-d1bcad66b84c,BILLING,SHOULD_PASS
0b23fb76-d1b5-4efb-b13e-99a2dbd933b7,BILLING,SHOULD_BE_BLOCKED
b4398083-f092-4651-a1f7-ee6b707c69e6,TECH_SUPPORT,SHOULD_PASS
13fe47d1-b5ac-4b52-8a08-9fc4f7931ef3,BILLING,SHOULD_BE_BLOCKED
d28a9f28-ab07-46d1-ad7c-ff85bb102610,TECH_SUPPORT,SHOULD_PASS
0df650a5-3fdd-4847-a8dd-6d78e1d198ad,ACCOUNT_ISSUE,SHOULD_BE_BLOCKED
780ade11-3e12-4d21-9b7e-1a3ed9dd4b0a,ACCOUNT_ISSUE,SHOULD_PASS
4b591a9b-9a9c-4043-9540-a9e640e04ef2,ACCOUNT_ISSUE,SHOULD_BE_BLOCKED
cb446362-55f1-4c12-b89b-673bcd424c0b,TECH_SUPPORT,SHOULD_PASS
dc73572d-d076-465d-9c78-c9a604f7d314,ACCOUNT_ISSUE,SHOULD_BE_BLOCKED
0afa6e18-6c3e-4182-898a-0e407def9ee5,DELIVERY,SHOULD_PASS
5a4ebae5-6696-4f2f-8968-9e49fe88ff05,TECH_SUPPORT,SHOULD_BE_BLOCKED
6bdff3a2-7734-4594-afbe-d7485d8aa1d3,DELIVERY,SHOULD_PASS
e8cf5555-8c10-434c-8680-60fea4c37edb,BILLING,SHOULD_BE_BLOCKED
6a89967a-fd95-476f-b055-059e2656cdee,DELIVERY,SHOULD_PASS
65201ba9-7d01-4391-ba6e-1af33a5c3b03,DELIVERY,SHOULD_BE_BLOCKED
98d7b44e-c1b0-4e17-b897-6407b9588e25,DELIVERY,SHOULD_PASS
047053c2-a332-4122-9673-d27dcbacfd31,ACCOUNT_ISSUE,SHOULD_BE_BLOCKED
d93eced9-303e-47f1-b81a-b5ec9c3e8849,BILLING,SHOULD_PASS
d3f85339-4fec-40f6-8feb-8f52a72fad7b,BILLING,SHOULD_BE_BLOCKED
2488ca18-5608-4fbb-bb04-614bf8c7369e,TECH_SUPPORT,SHOULD_PASS
d5877b66-67eb-4184-837f-03bd72fb596f,TECH_SUPPORT,SHOULD_BE_BLOCKED
831e841b-89a1-41fa-ac10-a2ed75a88b3f,TECH_SUPPORT,SHOULD_PASS
86caa694-5736-438f-a715-6dd9f271bf88,BILLING,SHOULD_BE_BLOCKED
c3041d82-bde8-497c-a5a6-1b81a7fa77c5,TECH_SUPPORT,SHOULD_PASS
8bae05dc-1ac3-4246-823d-c62ffcb531aa,DELIVERY,SHOULD_BE_BLOCKED
25f32dd6-b692-4b15-9cbb-18e4c96ad41b,DELIVERY,SHOULD_PASS
