0c337c09-bb13-4d17-b609-ed778b30f880,"{""clientId"": ""0c337c09-bb13-4d17-b609-ed778b30f880"", ""activeCategories"": [""BILLING""]}"
1b9f8c9d-8b04-42fb-a7f5-ec6740311bec,"{""clientId"": ""1b9f8c9d-8b04-42fb-a7f5-ec6740311bec"", ""activeCategories"": [""BILLING""]}"
76d14929-a41d-46a3-88a2-73b7500f1eb5,"{""clientId"": ""76d14929-a41d-46a3-88a2-73b7500f1eb5"", ""activeCategories"": [""ACCOUNT_ISSUE""]}"
640c0e42-81c2-4588-bda7-c24d6773c5e1,"{""clientId"": ""640c0e42-81c2-4588-bda7-c24d6773c5e1"", ""activeCategories"": [""ACCOUNT_ISSUE"", ""TECH_SUPPORT""]}"
77532a8d-b1ce-43d0-b559-1bcabe63ea00,"{""clientId"": ""77532a8d-b1ce-43d0-b559-1bcabe63ea00"", ""activeCategories"": [""DELIVERY"", ""TECH_SUPPORT""]}"
52e9f955-0561-421c-8f1c-b2de7471944a,"{""clientId"": ""52e9f955-0561-421c-8f1c-b2de7471944a"", ""activeCategories"": []}"
1f14a5ec-218c-4c11-8e4e-1bc888d897b2,"{""clientId"": ""1f14a5ec-218c-4c11-8e4e-1bc888d897b2"", ""activeCategories"": [""TECH_SUPPORT"", ""BILLING""]}"
f65959fe-8761-44d4-b226-0caa323b7763,"{""clientId"": ""f65959fe-8761-44d4-b226-0caa323b7763"", ""activeCategories"": []}"
ffab1359-0889-43a0-a552-22c18fb221cf,"{""clientId"": ""ffab1359-0889-43a0-a552-22c18fb221cf"", ""activeCategories"": [""DELIVERY"", ""BILLING""]}"
6498d229-2f84-4bbd-b96b-6b28329afc65,"{""clientId"": ""6498d229-2f84-4bbd-b96b-6b28329afc65"", ""activeCategories"": [""DELIVERY""]}"
b7b027c2-55ba-4136-a29b-67d9afab5bc8,"{""clientId"": ""b7b027c2-55ba-4136-a29b-67d9afab5bc8"", ""activeCategories"": [""ACCOUNT_ISSUE""]}"
